시도,시군구,년,위도,경도,기온_6월10이상,기온_6월15이상,기온_6월20이상,기온_6월25이상,기온_6월30이상,기온_7월10이상,기온_7월15이상,기온_7월20이상,기온_7월25이상,기온_7월30이상,기온_8월10이상,기온_8월15이상,기온_8월20이상,기온_8월25이상,기온_8월30이상,기온_9월10이상,기온_9월15이상,기온_9월20이상,기온_9월25이상,기온_9월30이상,기온_10월10이상,기온_10월15이상,기온_10월20이상,기온_10월25이상,기온_10월30이상,전_P0,답_P0,임야_P0,대지_P0,공원_P0,과수원_P0,유원지_P0,묘지_P0,남자인구_P1,여자인구_P1,X65이상인구_P1,X65이상남자_P1,X65이상여자_P1,X65이상남자_P2,X65이상여자_P2,X50이상인구_P1,X50이상남자_P1,X50이상여자_P1,X50이상남자_P2,X50이상여자_P2,농가인구_P1,농가남자_P1,농가여자_P1,농가남자_P2,농가여자_P2,위험지수,color
경기도,오산시,2017,37.149837,127.077333,719,700,508,192,23,744,744,744,513,95,744,744,686,398,88,717,680,437,137,0,615,412,138,13,0,8.925,14.043,25.694,17.481,3.05,0.503,0.713,0.276,51.279,48.721,7.753,3.285,4.468,42.371,57.629,24.446,11.873,12.573,48.568,51.432,1.869,0.922,0.947,49.321,50.679,4.778,white
경기도,의왕시,2017,37.3447006,126.96831,719,700,508,192,23,744,744,744,513,95,744,744,686,398,88,717,680,437,137,0,615,412,138,13,0,9.632,4.106,56.939,7.798,0.859,0.084,0,0.322,49.797,50.203,10.911,4.684,6.226,42.934,57.066,34.598,16.532,18.066,47.783,52.217,1.304,0.6,0.704,45.987,54.013,6.081,white
경기도,의정부시,2017,37.738098,127.0336819,716,678,458,217,37,742,742,742,434,83,744,737,660,330,81,714,625,356,127,0,555,335,115,11,0,5.653,4.097,57.788,12.792,1.42,0.288,0.014,0.101,49.377,50.623,12.838,5.451,7.387,42.463,57.537,35.668,16.83,18.838,47.184,52.816,0.811,0.4,0.411,49.339,50.661,6.081,white
경기도,이천시,2017,37.280836,127.451476,718,676,457,229,48,743,743,743,376,71,744,730,656,292,68,705,618,312,96,0,569,346,125,17,0,15.17,22.773,36.738,4.257,0.109,0.437,0.026,0.317,50.719,49.281,11.942,5.075,6.867,42.497,57.503,32.481,15.763,16.718,48.53,51.47,10.261,5.195,5.067,50.623,49.377,26.741,red
경기도,파주시,2017,37.862816,126.78586,716,653,389,165,8,744,744,743,345,57,744,722,627,284,67,704,581,286,100,0,477,273,80,8,0,10.836,16.645,45.387,4.557,0.747,0.088,0.138,1.008,50.585,49.415,12.22,5.142,7.079,42.074,57.926,31.508,14.99,16.518,47.576,52.424,4.968,2.535,2.433,51.02,48.98,4.778,white
경기도,평택시,2017,36.992329,127.112695,717,657,440,191,23,743,743,740,381,64,744,741,668,309,59,704,609,323,88,0,540,345,93,9,0,8.835,34.569,17.658,6.739,0.897,0.497,0.062,0.169,51.213,48.787,11.153,4.681,6.472,41.968,58.032,31.221,15.089,16.132,48.329,51.671,5.223,2.634,2.59,50.419,49.581,4.778,white
경기도,포천시,2017,37.8949148,127.2003551,716,678,458,217,37,742,742,742,434,83,744,737,660,330,81,714,625,356,127,0,555,335,115,11,0,9.448,7.218,67.563,2.329,0.029,0.052,0.082,0.23,51.735,48.265,15.97,6.818,9.152,42.692,57.308,41.677,20.712,20.964,49.698,50.302,10.117,5.043,5.073,49.851,50.149,6.081,white
경기도,하남시,2017,37.5393202,127.2149472,718,685,502,260,57,744,744,744,458,87,744,738,662,336,83,710,639,344,105,0,582,369,128,17,0,7.558,7.229,52.75,5.43,0.36,0.293,0,0.197,50.192,49.808,11.412,5.18,6.232,45.391,54.609,34.282,16.406,17.876,47.856,52.144,2.177,1.132,1.045,51.987,48.013,6.081,white
경기도,화성시,2017,37.1995902,126.8313496,719,700,508,192,23,744,744,744,513,95,744,744,686,398,88,717,680,437,137,0,615,412,138,13,0,11.338,22.075,33.897,5.978,0.849,0.267,0.017,0.2,51.352,48.648,8.261,3.533,4.728,42.768,57.232,24.528,12.068,12.46,49.201,50.799,5.161,2.651,2.51,51.36,48.64,4.778,white
경상남도,거제시,2017,34.880555,128.621266,719,716,498,127,5,744,744,744,614,103,744,744,742,610,120,720,712,566,148,0,694,597,208,28,0,5.97,9.96,70.035,3.775,0.098,0.332,0.049,0.305,53.472,46.528,8.03,3.35,4.68,41.718,58.282,26.741,13.303,13.438,49.749,50.251,4.835,2.341,2.494,48.412,51.588,21.8,red
경상남도,거창군,2017,35.686819,127.909515,716,658,420,201,32,744,744,732,396,99,744,731,678,324,86,702,562,267,88,0,567,353,81,16,0,5.102,9.776,75.75,1.234,0.045,0.726,0.019,0.189,49.079,50.921,24.833,9.499,15.334,38.251,61.749,49.112,21.636,27.476,44.054,55.946,26.173,12.513,13.66,47.809,52.191,48.211,red
경상남도,경남고성군,2017,34.9729819,128.3222453,719,719,474,38,0,744,744,744,436,15,744,744,744,589,108,720,712,592,143,0,708,600,200,19,0,5.831,15.48,65.369,2.105,0.078,0.373,0.055,0.409,50.244,49.756,27.127,10.662,16.464,39.306,60.694,52.647,23.616,29.031,44.857,55.143,24.237,11.478,12.759,47.358,52.642,90,red
경상남도,김해시,2017,35.2286634,128.8893494,719,716,507,175,9,736,736,736,527,114,744,744,726,501,107,720,702,486,120,0,686,503,148,12,0,3.962,16.06,50.645,5.262,0.463,0.92,0.222,0.581,50.39,49.61,9.226,3.709,5.517,40.205,59.795,29.72,14.364,15.356,48.33,51.67,4.14,2.089,2.05,50.473,49.527,21.8,red
경상남도,남해군,2017,34.844151,127.890026,719,718,513,183,13,744,744,744,564,144,744,744,735,527,146,720,710,517,129,0,700,547,158,26,0,8.656,13.009,66.806,2.825,0.004,0.127,0.017,0.761,47.814,52.186,35.128,13.351,21.777,38.007,61.993,61.318,26.385,34.933,43.03,56.97,33.498,15.355,18.145,45.838,54.169,147.029,white
경상남도,밀양시,2017,35.503313,128.746721,719,709,520,260,69,744,744,739,611,199,744,744,711,502,187,714,664,429,175,3,668,491,174,28,0,5.933,14.472,64.701,2.259,0.059,0.559,0.01,0.538,48.8,51.2,24.055,9.434,14.621,39.218,60.782,52.126,23.255,28.871,44.613,55.387,20.406,9.483,10.923,46.473,53.527,48.211,red
경상남도,사천시,2017,35.0037792,128.0641853,719,675,457,187,19,744,744,740,543,134,744,742,712,461,140,715,640,410,137,0,651,459,146,22,0,6.256,15.115,57.861,3.169,0.186,0.76,0.033,0.43,50.247,49.753,19.2,7.415,11.786,38.618,61.382,42.096,18.872,23.224,44.831,55.169,13.638,6.549,7.089,48.018,51.982,26.741,red
경상남도,산청군,2017,35.415633,127.873416,719,696,442,206,31,744,744,741,467,116,741,734,689,381,111,713,613,322,108,0,605,370,108,21,0,3.313,8.703,77.611,1.283,0.025,0.373,0.106,0.167,48.17,51.83,33.693,12.878,20.815,38.222,61.778,61.229,27.053,34.177,44.183,55.817,36.319,16.831,19.485,46.343,53.649,147.029,white
경상남도,양산시,2017,35.3350077,129.0370575,719,709,518,226,30,744,744,744,637,164,744,744,726,583,173,720,697,553,170,9,689,594,215,33,2,2.502,6.21,74.241,3.401,0.352,0.204,0.084,0.407,50.024,49.976,11.295,4.741,6.554,41.974,58.026,32.801,15.642,17.159,47.688,52.312,2.124,1.025,1.099,48.27,51.746,6.081,white
경상남도,의령군,2017,35.32219,128.261742,717,683,464,241,45,743,743,735,561,155,744,739,687,437,146,713,630,353,132,0,644,446,135,23,0,7.176,11.41,68.516,1.593,0.011,0.135,0.023,0.502,47.742,52.258,35.044,12.807,22.237,36.546,63.454,61.232,26.363,34.869,43.055,56.945,34.615,16.149,18.466,46.654,53.346,147.029,white
경상남도,진주시,2017,35.181243,128.108058,719,675,457,187,19,744,744,740,543,134,744,742,712,461,140,715,640,410,137,0,651,459,146,22,0,6.829,12.384,58.378,3.411,0.255,1.575,0.007,0.409,49.84,50.16,13.971,5.623,8.348,40.246,59.754,35.881,16.413,19.467,45.744,54.256,9.704,4.679,5.024,48.224,51.776,26.741,red
경상남도,창녕군,2017,35.5445928,128.492328,719,709,520,260,69,744,744,739,611,199,744,744,711,502,187,714,664,429,175,3,668,491,174,28,0,10.018,17.017,53.342,2.504,0.045,0.748,0.017,0.843,49.533,50.467,27.545,10.538,17.007,38.257,61.743,54.673,24.163,30.51,44.195,55.805,26.136,12.281,13.856,46.991,53.016,32.167,red
경상남도,통영시,2017,34.854402,128.433246,719,719,474,38,0,744,744,744,436,15,744,744,744,589,108,720,712,592,143,0,708,600,200,19,0,13.277,6.686,64.761,3.945,0.215,0.481,0.018,0.728,50.613,49.387,15.411,6.395,9.016,41.497,58.503,39.461,18.33,21.131,46.45,53.55,6.032,2.863,3.168,47.475,52.525,6.081,white
경상남도,하동군,2017,35.0672107,127.7512686,718,718,545,190,15,704,704,704,524,111,744,744,736,513,133,720,709,543,134,0,699,577,160,21,0,4.207,12.23,72.266,1.618,0.003,0.193,0.016,0.286,49.016,50.984,31.368,11.997,19.371,38.245,61.755,58.442,25.858,32.584,44.245,55.755,33.064,15.933,17.131,48.189,51.811,136.667,white
경상남도,함안군,2017,35.2724758,128.406535,717,683,464,241,45,743,743,735,561,155,744,739,687,437,146,713,630,353,132,0,644,446,135,23,0,9.323,18.279,50.429,2.528,0.116,0.803,0.011,0.876,50.218,49.782,20.789,8.1,12.689,38.962,61.038,45.301,20.876,24.425,46.082,53.918,18.344,8.028,10.316,43.765,56.235,48.211,red
경상남도,함양군,2017,35.5205452,127.7251759,714,655,432,226,46,744,744,739,423,138,744,730,675,347,123,702,569,294,116,0,547,357,101,23,0,4.702,9,77.334,1.218,0.034,0.551,0.022,0.161,47.716,52.284,31.43,11.646,19.784,37.054,62.946,57.312,24.743,32.569,43.172,56.828,37.348,17.561,19.787,47.021,52.979,147.029,white
경상남도,합천군,2017,35.566603,128.165883,716,680,470,262,70,744,744,738,514,157,744,738,689,399,152,711,620,367,152,2,627,420,135,24,0,4.58,10.6,72.165,1.23,0.006,0.05,0.051,0.207,47.366,52.634,36.92,13.631,23.288,36.922,63.078,63.567,27.2,36.366,42.79,57.21,33.575,15.367,18.205,45.77,54.223,147.029,white
경상북도,경산시,2017,35.8250555,128.7415441,719,709,537,267,70,744,744,741,592,196,744,744,724,450,128,718,699,461,154,0,675,460,123,20,0,7.067,13.571,55.553,3.927,0.255,1.964,0.003,0.554,50.116,49.884,13.399,5.516,7.883,41.169,58.831,34.388,15.948,18.441,46.375,53.625,6.913,3.48,3.433,50.337,49.663,4.778,white
경상북도,경주시,2017,35.8561716,129.224803,719,668,454,212,51,744,744,734,540,188,724,723,684,363,86,713,642,385,124,4,650,452,104,21,0,5.393,12.166,67.158,2.36,0.083,0.302,0.106,0.483,50.09,49.91,18.852,7.567,11.286,40.136,59.864,43.625,20.033,23.592,45.921,54.079,14.878,7.098,7.781,47.704,52.296,48.211,red
경상북도,고령군,2017,35.7261414,128.2629528,716,680,470,262,70,744,744,738,514,157,744,738,689,399,152,711,620,367,152,2,627,420,135,24,0,5.018,13.42,63.898,1.643,0.039,0.138,0.038,0.458,50.36,49.64,27.143,10.992,16.151,40.498,59.502,54.632,25.504,29.128,46.683,53.317,24.248,11.505,12.744,47.445,52.555,48.211,red
경상북도,구미시,2017,36.11949,128.344223,719,706,548,276,75,744,744,736,520,137,744,744,699,385,101,714,666,372,130,0,652,398,109,19,0,6.017,14.887,55.561,3.613,0.268,0.523,0.001,0.23,51.43,48.57,7.469,3.002,4.466,40.199,59.801,26.03,12.717,13.313,48.855,51.145,5.229,2.512,2.718,48.034,51.97,21.8,red
경상북도,군위군,2017,36.2428355,128.5727702,714,620,435,248,88,744,744,731,413,134,744,730,672,338,99,698,554,306,127,0,567,351,100,19,0,5.846,6.886,75.301,1.099,0.023,1.675,0,0.264,49.822,50.178,37.686,15.687,21.999,41.626,58.374,67.11,31.113,35.997,46.361,53.639,38.271,18.078,20.193,47.237,52.763,32.167,red
경상북도,김천시,2017,36.139867,128.1136501,719,706,548,276,75,744,744,736,520,137,744,744,699,385,101,714,666,372,130,0,652,398,109,19,0,6.623,11.439,68.994,1.904,0.12,1.291,0.002,0.263,49.807,50.193,20.105,8.029,12.075,39.938,60.062,44.016,20.08,23.936,45.62,54.38,22.736,11.1,11.636,48.82,51.18,48.211,red
